# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,density,density_error_max,density_error_min
K2-261 b,Confirmed,0.179,0.021,0.021,,,,0.84,0.011000000000000001,0.011000000000000001,11.63344,0.0001,0.0001,0.10375999999999999,0.0005099999999999999,0.00043,0.42,0.03,0.03,89.2,0.68,0.57,,2018.0,2018-09-15,147.0,6.3,5.9,,,,,,,2457906.8395700003,0.00049,0.00049,,,,,,,0.27,0.18,0.18,,,,16.6,1.9,1.9,1080.0,110.0,110.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"K2-261 b, EPIC 201498078 b",,K2-261,163.03241666899999,0.49335279546000005,10.6,,,,,214.6,2.0,2.0,0.36,0.06,0.06,1.1,0.02,0.01,1.65,0.04,0.04,G71V,8.8,0.3,0.4,5513.0,51.0,51.0,,,"2MASS J10520778+0029359, EPIC 201498078",0.07209855546811544,0.003211719433177542,0.003211719433177542
K2-29 b,Confirmed,0.73,0.04,0.04,0.73,0.04,0.04,1.19,0.02,0.02,3.2588321,1.9e-06,1.9e-06,0.04217,0.00023999999999999998,0.00023999999999999998,0.066,0.022000000000000002,0.022000000000000002,86.656,0.08,0.11,,2016.0,2016-06-13,132.0,21.0,21.0,,,,,,,2453219.0095,0.0022,0.0022,,,,1.5,8.7,8.7,0.58,0.02,0.02,,,,103.5,5.4,5.4,1171.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 211089792 b, WASP-152 b",,K2-29,62.670833347,24.401944454000002,,,,,,,,,,,,,,,,,,G7V,,,,,,,,,"EPIC 211089792, WASP-152",0.10341734084773331,0.006655926999565931,0.006655926999565931
K2-30 b,Confirmed,0.624,0.031,0.031,0.623,0.031,0.031,1.196,0.06,0.06,4.098507,2.8000000000000003e-05,2.8000000000000003e-05,0.04986,0.00035,0.00035,0.027000000000000003,0.02,0.036000000000000004,86.32,0.38,0.38,,2016.0,2016-06-07,120.0,51.0,100.0,,,,,,,2457063.8071,0.00027,0.00027,,,,,,,0.721,0.036000000000000004,0.036000000000000004,,,,79.9,4.0,4.0,1185.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-30,52.341666673999995,22.299444463,13.5,,,,,323.0,14.0,14.0,0.136,,,0.9840000000000001,0.02,0.02,0.941,0.040999999999999995,0.040999999999999995,G8,,,,5581.0,38.0,38.0,,,,0.08707679613465187,0.013380321858650361,0.013380321858650361
K2-31 b,Confirmed,1.774,0.079,0.079,,,,1.06,0.35,0.35,1.25785,2e-06,2e-06,0.022000000000000002,0.0018,0.0018,,,,79.9,0.8,0.8,,2016.0,2017-01-25,,,,,,,,,,2457191.7088900004,0.00023999999999999998,0.00023999999999999998,,,,,,,0.95,0.05,0.1,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-31 ,245.440837515,-23.547866689,10.8,,,,,,,,0.08,0.05,0.05,0.91,0.06,0.06,0.78,0.07,0.07,G7V,,,,5280.0,70.0,70.0,,,"EPIC 204129699, TYC 6794-471-1, 2MASS 16214578-2332520",0.355588257057448,0.35335205619002574,0.35335205619002574
K2-34 b,Confirmed,1.78,0.13,0.13,1.76,0.13,0.13,1.35,0.067,0.067,2.995607,1.7e-05,1.7e-05,0.04419,0.0011,0.00063,0.0,,,82.06,0.51,0.51,,2016.0,2016-06-07,,,,,,,,,,2457141.35132,0.00022,0.00022,,,,,,,0.857,0.023,0.023,,,,209.0,12.0,12.0,1742.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-34,127.57916667299999,22.23583334,11.5,,,,,377.0,20.0,20.0,0.24,0.22,0.22,1.281,0.091,0.055,1.526,0.076,0.076,F9,,,,6132.0,47.0,47.0,,,,0.1727150121649588,0.03413816145851711,0.03413816145851711
K2-39 b,Confirmed,0.125,0.013999999999999999,0.013999999999999999,,,,0.73,0.098,0.098,4.60543,0.00045999999999999996,0.00045999999999999996,0.062,0.012,0.01,0.152,0.068,0.084,80.0,4.0,4.0,,2016.0,2017-02-02,,,,,,,,,,2456980.8236,0.0039,0.0039,,,,,,,0.57,0.2,0.15,,,,13.8,1.4,1.4,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-39,339.86666667599997,-9.022777782999999,10.83,,,,,255.0,,,0.32,0.04,0.04,1.53,0.13,0.13,3.88,0.42,0.48,,3.09,0.7,0.92,4881.0,20.0,20.0,,,,0.0767101484761087,0.030912884681329487,0.030912884681329487
K2-55 b,Confirmed,0.138,0.0167,0.0167,,,,0.3952,0.027000000000000003,0.027000000000000003,2.849275,2.7000000000000002e-05,2.7000000000000002e-05,0.0347,0.001,0.001,0.124,0.055,0.055,88.0,1.0,1.0,,2018.0,2018-04-17,195.0,37.0,32.0,,,,,,,2456983.4229,0.0004,0.0004,,,,,,,0.37,0.2,0.15,,,,25.8,2.6,2.6,900.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-55,333.75,-17.250833339,13.6,,,,,,,,0.376,0.095,0.095,0.688,0.07,0.07,0.715,0.043,0.043,,,,,4300.0,100.0,100.0,,,,0.533752189254019,0.10976012904613718,0.10976012904613718
K2-60 b,Confirmed,0.426,0.037000000000000005,0.037000000000000005,,,,0.6829999999999999,0.037000000000000005,0.037000000000000005,3.00265,4e-05,4e-05,0.045,0.003,0.003,,,,88.49,0.96,0.96,,2016.0,2017-01-24,,,,,,,,,,2456928.0593,0.0007,0.0007,,,,,,,0.21,0.13,0.13,,,,61.0,2.6,2.6,1400.0,50.0,50.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-60,338.606208342,-13.731702804100001,,,,,10.99,,,,0.01,0.11,0.11,0.97,0.07,0.07,1.12,0.05,0.05,G4V,10.0,3.0,3.0,5500.0,100.0,100.0,,,"2MASS 22342548-134351, EPIC 22342548-13435",0.3191970571895688,0.053202784948545016,0.053202784948545016
K2-97 b,Confirmed,1.1,0.11,0.11,,,,1.31,0.11,0.11,8.4061,0.0015,0.0015,,,,,,,,,,,2016.0,2017-01-27,,,,,,,,,,,,,,,,,,,0.9329999999999999,0.006999999999999999,0.006,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 211351816 b, 2MASS 08310308+1050513 b",,K2-97,127.76285416799999,10.8475916947,,,,,,,,,0.42,0.08,0.08,1.16,0.12,0.12,4.2,0.14,0.14,,7.8,2.0,2.0,,,,,,"EPIC 211351816, 2MASS J08310308+1050513",0.11681273404930109,0.03210923489465008,0.03210923489465008
K2-99 b,Confirmed,0.97,0.09,0.09,,,,1.29,0.05,0.05,18.249000000000002,0.001,0.001,0.159,0.006,0.006,0.19,0.04,0.04,87.7,0.3,0.3,,2016.0,2016-11-09,,,,,,,,,,2457233.8230000003,0.003,0.003,,,,,,,,,,,,,56.4,4.0,4.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TYC 4974-871 b,,K2-99,208.773750002,-5.442466682640001,11.149000000000001,,,,,604.0,14.0,24.0,0.2,0.05,0.05,1.6,0.1,0.14,3.1,0.1,0.1,G0 IV,2.4,0.6,0.2,5990.0,40.0,40.0,,,"EPIC 212803289, TYC 4974-871, 2MASS J13550570-0526330",0.10787330731126292,0.015861713286934035,0.015861713286934035
KELT-10 b,Confirmed,0.679,0.039,0.039,0.679,0.039,0.039,1.399,0.049,0.069,4.166285,5.6999999999999996e-05,5.6999999999999996e-05,0.0525,0.0009699999999999999,0.00086,,,,88.61,0.74,0.86,,2015.0,2015-09-11,,,,,,,,,,2457175.0439,0.0054,0.0054,,,,,,,0.23,0.14,0.11,,,,80.0,3.5,3.5,1377.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KELT-10,284.54583333700003,-47.003333336000004,10.8,,,,,183.0,14.0,14.0,0.09,0.11,0.11,1.112,0.061,0.055,1.209,0.035,0.047,,4.5,0.7,0.7,5948.0,74.0,74.0,,,,0.059200860793055435,0.009058698836450284,0.006635190351101953
KELT-11 b,Confirmed,0.195,0.019,0.019,,,,1.37,0.12,0.18,4.736529,5.9e-05,6.8e-05,0.06229,0.0007599999999999999,0.00088,0.0,,,85.8,1.8,2.4,,2016.0,2016-07-11,,,,,,,,,,2457440.8323,0.0036,0.0042,2457059.5415,0.0027,0.0027,,,,0.36,0.2,0.13,,,,18.5,1.7,1.7,1712.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KELT-11,161.70833335,-9.399166687000001,8.0,,,,,98.0,5.0,5.0,0.18,0.075,0.075,1.4380000000000002,0.052000000000000005,0.061,2.72,0.17,0.21,G8,,,,5370.0,51.0,51.0,,,HD 93396,0.01810440684510426,0.007144329408441614,0.004769782138258104
KELT-15 b,Confirmed,0.92,0.23,0.23,0.91,0.22,0.22,1.443,0.057,0.11,3.3294410000000005,1.6e-05,1.6e-05,0.046130000000000004,0.00065,0.00065,,,,79.67,0.8,0.8,,2015.0,2015-10-01,,,,,,,,,,2457091.02863,0.00047000000000000004,0.00047000000000000004,2457027.5016,0.0073,0.0078,,,,0.2,0.14,0.18,,,,110.0,26.0,26.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KELT-15,117.41666668,-52.120555561,11.44,,,,,201.0,19.0,19.0,0.047,0.032,0.032,1.181,0.05,0.05,1.4809999999999999,0.040999999999999995,0.091,,,,,6003.0,50.0,50.0,,,,0.07309711301717214,0.023708631475331438,0.018912666957018057
KELT-16 b,Confirmed,2.75,0.15,0.16,2.74,0.15,0.15,1.415,0.067,0.084,0.9689950999999999,2e-06,2e-06,0.02044,0.00026000000000000003,0.00023999999999999998,,,,,,,,2016.0,2016-08-03,,,,,,,2457247.24791,0.00018999999999999998,0.00018999999999999998,,,,,,,,,,,,,,,,494.0,25.0,25.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit," TYC 2688-1839-1 b,  2MASS J20570443+3139397 b",,KELT-16,314.268479168,31.660991688499998,11.9,,,,,365.0,20.0,20.0,-0.002,0.085,0.086,1.2109999999999999,0.046,0.043,1.36,0.053,0.064,F7V,2.9,0.2,0.2,6236.0,54.0,54.0,,," TYC 2688-1839-1,  2MASS J20570443+3139397",0.23172599996781607,0.05547731212691227,0.047871502515023895
KELT-17 b,Confirmed,1.31,0.29,0.29,,,,1.525,0.06,0.065,3.0801716,5.3e-06,5.3e-06,0.04881,0.00061,0.00065,,,,,,,,2015.0,2016-07-14,,,,,,,,,,2457226.142194,0.00033,0.00033,,,,244.0,4.0,4.0,,,,,,,131.0,29.0,29.0,2087.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KELT-17,125.61666667600001,13.735277794000002,9.29,,,,,210.0,10.0,10.0,-0.018000000000000002,0.07200000000000001,0.07400000000000001,1.635,0.061,0.066,1.645,0.055,0.06,A,,,,7454.0,49.0,49.0,,,,0.08818062147596831,0.027947893808245534,0.027609370718727554
KELT-18 b,Confirmed,1.18,0.11,0.11,,,,1.57,0.036000000000000004,0.042,2.8717517999999997,2.8e-06,2.8e-06,0.0455,0.0006900000000000001,0.0006900000000000001,0.0,,,88.86,1.2,0.79,,2017.0,2017-02-07,,,,,,,,,,2457591.3461,0.0016,0.0016,2457541.08916,0.00039,0.00039,,,,0.102,0.071,0.1,,,,127.0,13.0,13.0,2120.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KELT-18,216.525000002,59.444166683999995,10.1,,,,,311.0,14.0,14.0,0.09,0.13,0.13,1.524,0.069,0.069,1.9080000000000001,0.035,0.042,F4V,1.9,0.2,0.2,6670.0,120.0,120.0,,,,0.07279380832303496,0.009911948065579622,0.009444148119194293
KELT-19 A b,Confirmed,4.07,4.06,0.0,,,,1.91,0.11,0.11,4.6117093,9e-06,9e-06,,,,,,,85.41,0.34,0.34,,2017.0,2017-09-22,,,,,,,,,,2457281.249537,0.00036,0.00036,,,,180.3,3.8,3.8,0.6,0.03,0.03,,,,352.0,351.0,0.0,1935.0,38.0,38.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KELT-19 A,111.512500001,7.615833358,,,,,,255.0,15.0,15.0,-0.12,0.51,0.51,1.62,0.25,0.25,1.83,0.1,0.1,A8V,1.1,0.1,0.1,7500.0,110.0,110.0,,,,0.13944588348091136,0.024092744266335467,0.5666626930723737
KELT-20 b,Confirmed,3.5180000000000002,3.517,0.0,,,,1.735,0.075,0.07,3.4741085,1.9e-07,1.9e-07,0.0542,0.0021,0.0014,,,,86.2,0.1,0.1,,2017.0,2018-07-30,,,,,,,2457485.74965,0.0002,0.0002,,,,,,,3.4,2.1,2.1,,,,,,,,,,2230.0,70.0,60.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"HD 185603 b, MASCARA-2 b",,KELT-20,294.661396263,31.2192261175,7.58,,,,,,,,-0.29,0.36,0.22,2.0,0.1,0.2,1.561,0.064,0.057999999999999996,A2V,0.3,0.1,0.2,8981.0,115.0,115.0,,,"2MASS J19383872+3113091, SAO 68614",0.16080842132535292,0.019463843503356833,0.5659475660950579
KELT-21 b,Confirmed,3.91,3.9,0.0,,,,1.5859999999999999,0.4,0.4,3.6127647000000005,3.3e-06,3.3e-06,0.052239999999999995,0.00035,0.00035,,,,86.46,0.38,0.38,,2017.0,2017-12-12,,,,,,,,,,,,,,,,,,,0.423,0.039,0.033,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KELT-21,304.800000004,32.581111134000004,10.5,,,,,415.0,50.0,50.0,-0.405,0.033,0.033,1.4580000000000002,0.028999999999999998,0.028999999999999998,1.6380000000000001,0.034,0.034,A8V,1.6,0.1,0.1,7598.0,84.0,84.0,,,,0.23397992592681202,0.17703399187400662,0.929535855970227
KELT-6 b,Confirmed,0.442,0.019,0.019,0.442,0.019,0.019,1.18,0.11,0.11,7.845582,7e-07,7e-07,0.08,0.001,0.001,0.028999999999999998,0.016,0.016,88.81,0.91,0.79,,2013.0,2015-08-27,308.0,272.0,30.0,,,,,,,2457124.50954,0.00057,0.00057,,,,324.0,11.0,11.0,0.2,0.14,0.14,,,,41.8,1.1,1.1,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KELT-6,195.9833,30.64,10.38,,,,,,,,-0.27,0.06,0.06,1.126,0.057999999999999996,0.057999999999999996,1.5290000000000001,0.13699999999999998,0.14300000000000002,F,4.9,0.46,0.66,6272.0,61.0,61.0,,,,0.06422256369317617,0.018001950551357577,0.018001950551357577
KELT-7 b,Confirmed,1.29,0.18,0.18,1.28,0.18,0.18,1.5330000000000001,0.047,0.047,2.7347749,3.9e-06,3.9e-06,0.04415,0.00062,0.0005200000000000001,,,,83.76,0.38,0.38,,2015.0,2016-05-09,,,,,,,,,,2456223.9592,0.0017,0.0017,2456222.5918,0.0017,0.0017,,2.7,2.7,0.6,,,,,,138.0,19.0,19.0,2048.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KELT-7,78.295833337,33.318055563,8.54,,,,,129.0,8.0,8.0,0.139,0.08,0.08,1.535,0.066,0.054000000000000006,1.732,0.045,0.045,,1.3,0.2,0.2,6789.0,50.0,50.0,,,,0.08548199247094715,0.017279139661303657,0.017279139661303657
KELT-8 b,Confirmed,0.8740000000000001,0.067,0.068,0.867,0.065,0.065,1.86,0.18,0.18,3.2440599999999997,0.00016,0.00016,0.04571,0.00084,0.0009599999999999999,0.035,0.025,0.05,82.65,1.0,0.8,,2015.0,2016-09-16,85.0,97.0,87.0,2456870.47,0.86,0.75,,,,2456883.4803,0.0007,0.0007,2456868.886,0.043,0.049,,,,0.763,0.057,0.09699999999999999,,,,104.0,6.4,6.4,1675.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KELT-8,283.30416667099996,24.127500011,10.83,,,,,236.0,9.0,9.0,0.27,0.04,0.04,1.2109999999999999,0.066,0.078,1.67,0.14,0.14,G2V,5.4,0.5,0.5,5754.0,55.0,55.0,,,HD 343246,0.03242529908881796,0.009668569616149422,0.00966122660015243
KOI-188 b,Confirmed,0.25,0.08,0.08,0.25,0.08,0.08,0.978,0.022000000000000002,0.022000000000000002,3.79701816,1.9e-07,1.9e-07,0.0464,0.0008,0.0008,0.33,0.0,0.33,87.02,0.08,0.08,,2014.0,2016-01-10,,,,,,,,,,2454966.508785,3.9e-05,3.9e-05,,,,,,,0.602,,,,,,34.0,10.0,10.0,1070.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KOI-188,290.358333342,40.56777779,15.0,,,,,650.0,20.0,20.0,0.24,0.11,0.11,0.93,0.05,0.05,0.86,0.025,0.025,K1V,5.0,4.0,4.0,5170.0,70.0,70.0,,,,0.06380207966202969,0.006677667111434429,0.006677667111434429
KOI-192 b,Confirmed,0.29,0.09,0.09,0.29,0.09,0.09,1.23,0.21,0.21,10.290994,1.1e-06,1.1e-06,0.091,0.01,0.01,0.57,0.0,0.57,89.5,0.45,0.45,,2014.0,2016-01-10,,,,,,,,,,2454970.02207,9e-05,9e-05,,,,,,,,0.09,0.09,,,,29.8,9.1,9.1,1100.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KOI-192,288.254166667,43.705000018,14.5,,,,,1100.0,150.0,150.0,-0.19,0.07,0.07,0.96,0.06,0.06,1.35,0.2,0.2,G2V,7.0,4.0,4.0,5800.0,70.0,70.0,,,,0.03720437852085855,0.01934784518047795,0.01934784518047795
KOI-195 b,Confirmed,0.34,0.08,0.08,0.34,0.08,0.08,1.09,0.03,0.03,3.21751883,1.9e-07,1.9e-07,0.0414,0.001,0.001,0.18,0.0,0.18,85.74,0.06,0.06,,2014.0,2014-10-29,,,,,,,,,,2454966.63196,4.7e-05,4.7e-05,,,,,,,0.718,0.006999999999999999,0.006999999999999999,,,,50.0,10.0,10.0,1300.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KOI-195,289.433333348,49.473333348000004,15.0,,,,,880.0,30.0,30.0,-0.21,0.08,0.08,0.91,0.06,0.06,0.92,0.025,0.025,G1V,6.0,4.0,4.0,5725.0,90.0,90.0,,,,0.0626773770910664,0.007205883672646811,0.007205883672646811
KOI-830 b,Confirmed,1.27,0.19,0.19,1.27,0.19,0.19,1.08,0.03,0.03,3.52563254,1.5e-07,1.5e-07,0.0433,0.0009,0.0009,0.22,0.0,0.22,89.36,0.043,0.043,,2014.0,2014-10-29,,,,,,,,,,2455003.04801,3.2e-05,3.2e-05,,,,,,,0.13,,,,,,108.0,26.0,26.0,1070.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KOI-830,290.58333334,40.57750002,15.5,,,,,730.0,25.0,25.0,0.09,0.17,0.17,0.87,0.05,0.05,0.8,0.02,0.02,,5.0,4.0,4.0,5150.0,100.0,100.0,,,,0.24068212939946637,0.04993469466714623,0.04993469466714623
KPS-1 b,Confirmed,1.09,0.087,0.087,,,,1.03,0.13,0.13,1.706291,5.9999999999999995e-05,5.9999999999999995e-05,0.0269,0.001,0.001,0.0,,,83.2,0.9,0.9,,2018.0,2018-04-17,,,,,,,,,,2457508.37019,0.00079,0.00079,,,,,,,0.754,0.049,0.04,,,,237.4,6.5,6.5,1459.0,56.0,56.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KPS-1,165.16666668,64.963888919,13.0,,,,,,,,0.22,0.13,0.13,0.892,0.1,0.1,0.907,0.08199999999999999,0.086,,,,,5165.0,90.0,90.0,,,2MASS11004017+6457504,0.2381366360996378,0.09251779566349545,0.09251779566349545
Kepler-1656 b,Confirmed,0.1529,0.012,0.0132,,,,5.02,0.53,0.53,31.578659000000002,,,0.19699999999999998,0.021,0.021,0.0836,0.013000000000000001,0.013000000000000001,89.3,0.51,0.47,,2018.0,2018-09-25,53.9,6.4,6.7,,,,,,,,,,,,,,,,0.083,0.057,0.065,,,,17.6,1.7,2.1,651.0,47.0,51.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-1656,284.470833351,39.911944471999995,11.6,,,,,,,,0.19,0.04,0.04,1.03,0.04,0.04,1.1,0.13,0.13,,6.3,2.9,2.1,5731.0,60.0,60.0,,,,0.0002885411276128973,9.146984766145488e-05,9.14560843809983e-05
Kepler-289 d,Confirmed,0.415,0.053,0.053,0.415,0.053,0.053,1.034,0.017,0.017,125.8518,0.0076,0.0076,0.51,0.03,0.03,0.0033,0.011000000000000001,0.011000000000000001,89.794,0.017,0.017,,2014.0,2016-02-12,45.0,,,,,,,,,2455059.6528,0.0077,0.0077,,,,,,,0.39399999999999996,0.02,0.026000000000000002,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,PH3 d,,Kepler-289,297.46533210000007,42.882851,12.9,,,,,700.0,14.0,14.0,0.05,0.04,0.04,1.08,0.02,0.02,1.0,0.02,0.02,,0.65,0.44,0.44,5990.0,38.0,38.0,,,PH3,0.08961854138478385,0.006488382424878158,0.006488382424878158
Kepler-419 b,Confirmed,2.71,0.66,0.66,,,,1.11,0.14,0.14,69.7968,0.0087,0.0087,0.371,0.04,0.04,0.8170000000000001,0.016,0.016,87.04,0.72,0.72,,2012.0,2018-04-13,94.0,2.2,2.2,,,,,,,2454959.33177,0.00054,0.00054,,,,,,,,,,,,,186.0,12.0,12.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-419,295.4166667,51.1847222,14.0,,,,,,,,0.0,0.16,0.16,1.22,0.08,0.08,1.4,0.21,0.21,,2.8,1.3,1.3,6230.0,100.0,100.0,,,KOI-1474,0.4730551176951637,0.3598858945089174,0.3598858945089174
Kepler-422 b,Confirmed,0.43,0.13,0.13,0.43,0.13,0.13,1.15,0.11,0.11,7.8914482999999995,5.1e-07,5e-07,0.08199999999999999,0.01,0.011000000000000001,,,,,,,,2014.0,2014-10-09,,,,,,,,,,2455010.25005,9.4e-05,0.00011,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-422,282.62962501,46.323361122799994,13.642000000000001,,,,,,,,0.23,0.09,0.09,1.15,0.06,0.06,1.24,0.12,0.12,,,,,5972.0,84.0,84.0,,,,0.06749728826778828,0.021263686199680623,0.021263686199680623
Kepler-423 b,Confirmed,0.595,0.081,0.081,0.595,0.081,0.081,1.192,0.052000000000000005,0.052000000000000005,2.6843285,8.199999999999999e-08,8.199999999999999e-08,0.03585,0.00114,0.0005200000000000001,0.019,0.013999999999999999,0.027999999999999997,,,,,2014.0,2015-08-17,120.26,33.88,77.01,,,,,,,2454966.35481,2.124e-05,2.124e-05,,,,,,,0.31,0.01,0.01,,,,96.7,11.8,11.8,1605.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-423,292.855666675,46.3911777917,14.499,,,,,,,,0.26,0.12,0.12,1.07,0.05,0.05,0.99,0.054000000000000006,0.054000000000000006,,,,,5790.0,,,,,,0.0838686379889849,0.01290830892318414,0.01290830892318414
Kepler-424 b,Confirmed,1.03,0.13,0.13,1.03,0.13,0.13,0.89,0.06,0.08,3.3118644,3.9e-07,3.9e-07,0.044000000000000004,0.004,0.005,,,,,,,,2014.0,2014-10-22,,,,,,,,,,2454964.7427,0.00016999999999999999,0.00022999999999999998,,,,,,,,,,,,,140.0,13.0,12.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-424,298.624958343,48.57745002,14.497,,,,,,,,0.44,0.14,0.14,1.01,0.054000000000000006,0.054000000000000006,0.94,0.055999999999999994,0.055999999999999994,,,,,5460.0,81.0,81.0,,,,0.3488017020280016,0.10441825715029598,0.08386046470580973
Kepler-432 b,Confirmed,5.41,0.3,0.19,5.41,0.3,0.19,1.45,0.039,0.039,52.50113399999999,7e-05,0.00010700000000000001,0.301,0.016,0.011000000000000001,0.5121,0.0084,0.0107,88.17,0.61,0.33,,2014.0,2018-07-23,65.6,1.8,1.8,,,,,,,2455949.5374,0.0018,0.0018,,,,,,,,,,,,,294.5,2.1,2.1,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,KOI-1299 b,,Kepler-432,293.283333336,48.28583334100001,13.0,,,,,874.0,30.0,30.0,-0.02,0.06,0.06,1.35,0.1,0.1,4.15,0.12,0.12,K2III,3.6,1.0,0.6,5020.0,60.0,60.0,,,,0.42364750114911826,0.08745096321510427,0.13161114059661025
Kepler-433 b,Confirmed,2.82,0.52,0.52,,,,1.45,0.16,0.16,5.33408384,1.1e-06,1.1e-06,0.059000000000000004,,,0.11900000000000001,0.079,0.079,89.21,0.9,0.52,,2012.0,2016-12-26,,,,,,,,,,2454964.98152,0.00015,0.00015,,,,,,,0.08199999999999999,0.081,0.081,,,,259.0,44.0,44.0,,,,,,,,,,Submitted to a professional journal,Primary Transit,Radial Velocity,Primary Transit,KOI-206 b,,Kepler-433,297.59166669999996,40.9772222,14.5,,,,,1870.0,210.0,210.0,-0.01,0.2,0.2,2.82,0.52,0.52,1.45,0.16,0.16,,2.67,0.91,0.91,6360.0,140.0,140.0,,,KOI-206,0.2208291965324424,0.1361253625788823,0.1361253625788823
